content,content_cutted,label_name,posibility
"因为散兵值得被爱

从散兵上线开始，到玩家诟病的三度背叛，草神阿帽，我都不觉得是什么值得喷的点。

相反，我对散兵这个角色始终抱着很大的善意，我非常心疼和喜欢散兵这个具有魅力的男角色，我觉得他就该被玩家宠爱。

每次看到他的剧情，我就会在想他这几百年一路走来的经历，他内心的挣扎，他所有争议的剧情不过是玩家盲人摸象，只看得见冰山一角，知其然而不知其所以然罢了。

看到新夏活剧情我更开心了，我惊喜原来大家真的都爱他，他也终于摆脱过去的阴霾，开始踏出勇敢的一步，获得几个知心好友，在童话里当着英雄勇者。

我不知道谁要黑阿散带宝的节奏，但我希望原神能一直保持这样的剧情水准，并且多让我家散宝出现。

他值得被爱。[Mygo表情包_Love]",散兵 爱 散兵 上线 玩家 诟病 草神 阿帽 散兵 角色 散兵 魅力 男 角色 玩家 剧情 经历 内心 争议 剧情 玩家 盲人摸象 新夏 活 剧情 大家 阴霾 好友 童话 勇者 宝 节奏 原神 剧情 水准 散宝 爱 表情,剧情_摄像头_角色,[0.3427235 0.6572765]
磕了两年的散草??，现在却被妮露摘了桃子??，唉，意难平[捂脸],散草 桃子 意难 脸,原神_散兵_主角,[0.74941158 0.25058842]
看着我的满命妮露是真难绷,命妮,未知,[0.5 0.5]
焦糖，很羡慕你每次赤石这游戏竟然还能那么开心，我实在是绷不住卸载了。,焦糖 赤石 游戏,剧情_摄像头_角色,[0.16725499 0.83274501]
妮露：FW黄毛快推啊，阿帽大人快没力气了[吃瓜],大人 力气 瓜,未知,[0.5 0.5]
能不能把阳光开朗大男孩那段单独剪出来,男孩,原神_散兵_主角,[0.74953646 0.25046354]
这个黄毛，说好听点儿是见证者，直白点儿来说就是摄像头，难听的来说连摄像头都不如，这剧情有你没你都一样[喜极而泣][喜极而泣][喜极而泣],点儿 见证者 点儿 摄像头 摄像头 剧情,剧情_摄像头_角色,[0.29311097 0.70688903]
剧情到了后面，妮露似乎很嫌弃旅行者啊[呲牙],剧情 旅行者 牙,剧情_摄像头_角色,[0.49955571 0.50044429]
12+还是打的太高了，建议优化为6+,建议 优化,剧情_摄像头_角色,[0.25096198 0.74903802]
[doge],,未知,[0.5 0.5]
按日后谈的剧情瘤子是不是要去蒙德了,剧情 瘤子,剧情_摄像头_角色,[0.25009805 0.74990195]
戒指还是吃少了,戒指,未知,[0.5 0.5]
擦，散兵和他的四个老婆，爷也算在里面了[辣眼睛]早知道选男的了，当龟龟也不能受这气[笑哭],散兵 老婆 辣 眼睛 龟 龟 气,原神_散兵_主角,[0.83308996 0.16691004]
对不起 阿帽是我太自作多情幻想自己是勇者 是我羸弱不堪给你们拖后腿了 对不起 妮露 是我笨手笨脚忘记打开风之翼又晕倒了 油腻的头发脏了你的腿 我一定会改的 求求你们不要抛下我不管 让我做什么都可以[大哭][大哭],是我太 幻想 勇者 拖后腿 油腻 头发 腿,原神_散兵_主角,[0.7497693 0.2502307]
我很喜欢尼禄，我这次红温了，艹,,未知,[0.5 0.5]
我就一直不支持剧情跳过，不然我看谁直播赤石,剧情 直播 赤石,剧情_摄像头_角色,[0.16717826 0.83282174]
啊啊啊，啊啊散宝宝好帅好可爱啊啊啊啊，啊啊啊[喜欢][喜欢],,未知,[0.5 0.5]
某种意义上来说3包确实成为了O的主角??? 三包在当执行官的时候是不是游历了大陆?? 是不是旅行者???? 旅行者是主角你家主子是不是主角??? 那黄毛都有自己的名字了那还是旅行者吗？那不是了那是个摄像头综上所述主角是三包[脱单doge],主角 执行官 时候 游历 大陆 旅行者 旅行者 主角 主子 主角 名字 旅行者 摄像头 主角 单,原神_散兵_主角,[0.76203528 0.23796472]
[抱拳]米站是这样的，用户只需要发信息就好了，而米站要考虑的就多了。删谁的评论，不删谁的评论。[墨镜],用户 信息 评论 评论 墨镜,原神_散兵_主角,[0.81854745 0.18145255]
"这是我在其他地方看到的评论：

“awwbwg，我再说一遍，剧情没有问题，原神主角本来就是很弱，是一个见证者（摄像头），这个就是原神剧情的特点，是和其他游戏剧情区别开的差异点，一直抓着这个不放就别玩了啊，原神角色都有自己的生活，想让女角色都喜欢你的出门左转龙傲天鸣潮欢迎你，慢走不送[OK][OK][OK]”

他说得好有道理[星星眼][星星眼][星星眼]",地方 评论 剧情 问题 原神 主角 见证者 摄像头 原神 剧情 特点 游戏 剧情 区别 差异 原神 角色 生活 女 角色 道理 星星 眼 星星 眼 星星 眼,剧情_摄像头_角色,[0.37625361 0.62374639]
下次别把原片放上来了，哥们真不想沉浸赤石三十分钟,原片 哥们 赤石,剧情_摄像头_角色,[0.25140632 0.74859368]
盲猜学长们又要来复制粘贴嗦奶嘴了[喜极而泣],学长 复制粘贴 奶嘴,未知,[0.5 0.5]
什么时候修复一下摄像头老是露脸的bug[脱单doge],时候 摄像头 单,剧情_摄像头_角色,[0.1675363 0.8324637]
怎么感觉唐哥在掉粉。。。之前看还四十多万来着。。。[喜极而泣],感觉 粉,剧情_摄像头_角色,[0.25119519 0.74880481]
顶级龟饲料,顶级 饲料,原神_散兵_主角,[0.74896812 0.25103188]
我真的2024年还搞不明白，自己游戏暴雷，为什么要骂别的游戏，难道是别的游戏改你们游戏剧情了??????????????,游戏 游戏 游戏 游戏 剧情,剧情_摄像头_角色,[0.08342808 0.91657192]
这个剧情我在贴吧看到爆料的时候，我是不信的，因为我觉得太离谱了，没想到正式上线后这剧情比爆料出来的更离谱。,剧情 爆料 时候 离谱 上线 剧情 爆料 离谱,剧情_摄像头_角色,[0.12542883 0.87457117]
我走了哈，我不打扰。还有后续捏，这编剧绝了，散b给了啥好处啊[打call],编剧 散,原神_散兵_主角,[0.74954942 0.25045058]
米黑出列!（敢黑我们伟大的米卫兵你可知罪??）,卫兵,未知,[0.5 0.5]
逆天[翻白眼],,未知,[0.5 0.5]
你总算醒了,总算,未知,[0.5 0.5]
哎,,未知,[0.5 0.5]
这原神现在发现还真是纯小仙女编剧[辣眼睛],原神 仙女 编剧 辣 眼睛,原神_散兵_主角,[0.89982406 0.10017594]
原不会以为把人恶心走他们就会去玩崩铁和zzz吧[嗑瓜子],原 人 恶心,剧情_摄像头_角色,[0.25362286 0.74637714]
还好夏活前瞻前出脑把号卖了[笑哭]厨米家角色的这都是福报啊,前瞻 脑 厨米家 角色 福报,剧情_摄像头_角色,[0.25031386 0.74968614]
"趁着黄毛晕倒了，阿帽用风元素力卸去妮露的衣服，伸手抓住妮露的两只牛角。

妮露：你干嘛呀，这有人看着呢！

阿帽微微一笑，挥手招来一阵怪风，将黄豆妹与小猫娘的衣物尽数散去。

阿帽大笑道：很简单把你们一块弄了不就是了？

三女纷纷羞红了脸，算是默认了这种行为。

散兵看的兽性大发，用各种奇淫巧技将三女折腾了整整一个下午……

完事后，阿帽将黄毛的头枕在妮露腿上，说道：你赶紧麻利点把他叫醒。

妮露不解道：你把他放我腿上干嘛啊！丢地上不好吗？真的是！

阿帽微微一笑：你懂什么，他可是惦记了你身子很久了，这不，你刚好出了新衣服，哄哄他，让他把帮你新衣服先拿下。

黄毛醒后睁开眼睛就看到了妮露的下巴，发现他自己竟睡在了妮露的腿上：唉呀我怎么睡在妮露的腿上！我真幸福啊??大家也都很开心呢！

妮露装出娇羞的样子说到：（ 4fw）人家衣服不小心被你弄坏了……（妮露内心：你**谁，我跟你很熟吗？要不是住在净善宫阿帽哥哥帮了我忙，我连跳舞的梦想都完成不了）

黄毛定睛一看！妮露果真是衣服损坏了不少！买买买！我给你买新的！[微笑][微笑][微笑]",阿帽 风 元素 力 衣服 牛角 干嘛 风 黄豆 妹 小猫 娘 衣物 女 散兵 兽性大发 技将 女 整整 阿帽 头枕 腿 腿 干嘛 身子 衣服 衣服 睁开眼睛 下巴 腿 腿 大家 样子 人家 衣服 小心 内心 善宫 阿帽 梦想 衣服 微笑 微笑 微笑,剧情_摄像头_角色,[0.2467555 0.7532445]
感觉是xxn文案被按头写ml但又不甘心,感觉 文案 头 甘心,原神_散兵_主角,[0.50339416 0.49660584]
纱布，退坑几年了剧情还是看得我还是眉头一皱,纱布 坑 剧情,剧情_摄像头_角色,[0.25009805 0.74990195]
诶????,,未知,[0.5 0.5]
这都是带节奏的，这次剧情非常好，我也十分喜欢，刚好5.0马上来了，是入坑的好时间，可是现在新人入坑门槛高，怎么解决呢，唉???，刚好我有个六万氪成品号50包卖的,节奏 剧情 坑 时间 新人 坑 门槛 成品,剧情_摄像头_角色,[0.07164496 0.92835504]
原神小仙女编剧真不如去做雷火剑的编剧[呲牙],原神 小 仙女 编剧 雷火 剑 编剧 牙,原神_散兵_主角,[0.89984075 0.10015925]
干嘛都在喷这次剧情啊？这不是写得很真实很符合逻辑吗？这不就是学长们不能跳过的人生吗？??,干嘛 剧情 逻辑 学长 人生,剧情_摄像头_角色,[0.25009805 0.74990195]
不用多说,,未知,[0.5 0.5]
世界名画，主角在聊天,世界 名画 主角 聊天,原神_散兵_主角,[0.82729781 0.17270219]
警惕数字生命,数字 生命,未知,[0.5 0.5]
你们这些人不要乱黑，这个游戏剧情非常好，人设完美各种设定恰到好处，马上5.0了，新人入坑成本又高，诶??? 刚好我这有个成品号,人 游戏 剧情 人 新人 坑 成本 成品,剧情_摄像头_角色,[0.10021184 0.89978816]
阳光开朗摄像头[脱单doge]还有你们，[嗑瓜子],摄像头 单,剧情_摄像头_角色,[0.25023129 0.74976871]
唯酢记得找米桑要钱,,未知,[0.5 0.5]
@疑似自我意识过剩 别洗了，集美，你再洗也改变不了他杀过人还装作什发生过的事实,集美 他杀 过人 事实,未知,[0.5 0.5]
这段剧情让我弃坑了，游戏都不想上,剧情 坑 游戏,剧情_摄像头_角色,[0.16680919 0.83319081]
12岁的我是犯了什么法 要看这种奇葩剧情 喜羊羊都比这个好看,奇葩 剧情 羊 羊,剧情_摄像头_角色,[0.25009805 0.74990195]
额，一个蒙得角色都没有，别的国家的人原谅了杜林？？？,额 角色 国家 人,剧情_摄像头_角色,[0.25031386 0.74968614]
你魂穿原神，称为人人喊打的反派。正当要被天命之子黄毛处决时一道系统音响起：叮，检测到宿主即将被黄毛杀死现绑定了反派逆袭系统。宿主的任务是剥夺黄毛气运……转）  ,魂 原神 天命 时 系统 音响 检测 宿主 系统 宿主 任务 气运,原神_散兵_主角,[0.50735075 0.49264925]
每当我想给米哈游尊重，米学长便开口说话,学长 开口,未知,[0.5 0.5]
这就是喜欢这个剧情玩家的真实心声！??,剧情 玩家 心声,剧情_摄像头_角色,[0.16685153 0.83314847]
[星星眼][星星眼][星星眼],星星 眼 星星 眼 星星 眼,剧情_摄像头_角色,[0.12539952 0.87460048]
一群莫名其妙的人在这自绿，人家不是上来就抱过旅行者了吗，把他放到草地上也是因为害怕弄醒旅行者，还有人家阿帽有说要谁谁谁原谅嘛，他只是觉得他是罪人之身以后要用温柔对待这个世界，所以他才接受了魔龙，编剧也没让谁谁谁原谅杜林啊，阿帽最后愿意和杜林做朋友也只是和自己合解罢了，这版本剧情完全没有什么问题，想表达的思想也简单易懂，而且现在非常适合新人入坑，什么？不想肝？太累了？诶 ????刚好我这有个60级成品号。,人 绿 人家 旅行者 旅行者 人家 阿帽 罪人 世界 魔龙 编剧 朋友 版本 剧情 问题 思想 新人 坑 肝 成品,剧情_摄像头_角色,[0.44521274 0.55478726]
如何呢？[笑哭],,未知,[0.5 0.5]
还好视频可以skip，直接skip到总结[Mygo表情包_让我看看],视频 总结 表情,剧情_摄像头_角色,[0.25040489 0.74959511]
别尬黑，原神的剧情还真不配碰瓷喜羊羊,黑 原神 剧情 羊 羊,剧情_摄像头_角色,[0.499834 0.500166]
这剧情真是给玩家过的？为了衬托啥呢？[热],剧情 玩家 衬托 热,剧情_摄像头_角色,[0.16685153 0.83314847]
原神编剧是白蚁别尬黑[笑哭],原神 编剧 白蚁 黑,原神_散兵_主角,[0.83313419 0.16686581]
"[笑哭][笑哭][笑哭][笑哭][笑哭]趁着黄毛晕倒了，阿帽用风元素力卸去妮露的衣服，伸手抓住妮露的两只牛角。

妮露：你干嘛呀，这有人看着呢！

阿帽微微一笑，挥手招来一阵怪风，将黄豆妹与小猫娘的衣物尽数散去。

阿帽大笑道：很简单把你们一块弄了不就是了？

三女纷纷羞红了脸，算是默认了这种行为。

散兵看的兽性大发，用各种奇淫巧技将三女折腾了整整一个下午……

完事后，阿帽将黄毛的头枕在妮露腿上，说道：你赶紧麻利点把他叫醒。

妮露不解道：你把他放我腿上干嘛啊！丢地上不好吗？真的是！

阿帽微微一笑：你懂什么，他可是惦记了你身子很久了，这不，你刚好出了新衣服，哄哄他，让他把帮你新衣服先拿下。

黄毛醒后睁开眼睛就看到了妮露的下巴，发现他自己竟睡在了妮露的腿上：唉呀我怎么睡在妮露的腿上！我真幸福啊??大家也都很开心呢！

妮露装出娇羞的样子说到：（ 4fw）人家衣服不小心被你弄坏了……（妮露内心：你**谁，我跟你很熟吗？要不是住在净善宫阿帽哥哥帮了我忙，我连跳舞的梦想都完成不了）

黄毛定睛一看！妮露果真是衣服损坏了不少！买买买！我给你买新的！",阿帽 风 元素 力 衣服 牛角 干嘛 风 黄豆 妹 小猫 娘 衣物 女 散兵 兽性大发 技将 女 整整 阿帽 头枕 腿 腿 干嘛 身子 衣服 衣服 睁开眼睛 下巴 腿 腿 大家 样子 人家 衣服 小心 内心 善宫 阿帽 梦想 衣服,剧情_摄像头_角色,[0.2467555 0.7532445]
如何看待空灵大佐暴论,空灵 暴论,未知,[0.5 0.5]
请读出散兵的称号，我是删号退游了。,散兵 称号,原神_散兵_主角,[0.74989975 0.25010025]
兄弟们荣誉勋章奥[doge],兄弟 勋章,原神_散兵_主角,[0.7495116 0.2504884]
孩子们别怕我来了,孩子,未知,[0.5 0.5]
黑椒糖在微博已经被??解挂了[doge],黑椒 糖,原神_散兵_主角,[0.74773847 0.25226153]
这下狠狠的赤石了[星星眼],赤石 星星 眼,剧情_摄像头_角色,[0.16741266 0.83258734]
这就是喜欢这个剧情玩家的真实心声！??,剧情 玩家 心声,剧情_摄像头_角色,[0.16685153 0.83314847]
我看别人是膝枕那段，你男主害羞就算了，女主你给膝枕害羞什么，你又不是女同[喜极而泣][喜极而泣][喜极而泣][喜极而泣],主 女主 女同,未知,[0.5 0.5]
真不知道，那些真心把当妮露老婆的人，现在是什么感受，毕竟对方明显是嫌弃玩家这个摄像头，而且派蒙作为官方直接说出来本质,当妮 老婆 人 对方 玩家 摄像头 官方 本质,剧情_摄像头_角色,[0.1668973 0.8331027]
黄毛凭什么是主角，实力不行，剧情不好，深渊进不去，大世界不要他，也就任务强行漏个面，而且我是我 他叫空，真是带入不了一点,主角 实力 剧情 世界 任务 个面 空,剧情_摄像头_角色,[0.45815053 0.54184947]
厕滑?????：来啊，下大棋二缺一啊,厕滑,未知,[0.5 0.5]
"但是我们的双少女啊??

没问题啊双少女??

没人可以碰到双少女??

我们的双少女还在输出 ??

原神的第六手pick永远是这两个少女！??

第三个来了！第三个来了！娜维娅来了！??

三姐妹 我们仨 ！??????

保住三姐妹！??????

保住我们姐仨??????

旅行者你吃得住三姐妹的伤害吗？一下160??

旅行者在三姐妹中游泳！??

哎，散兵TP辣！要小心散兵背刺?? 旅行者被散兵摘桃子了??而且勇者的头衔已经续上了??????而且旅行者想走也走不了，原神已经卸载不掉了??????

开喷能换一个吗，好像也换不了被捂嘴了????????????

哇~散兵的这波入场太要命了??

哇??

哇??",双 少女 问题 双 少女 人 双 少女 双 少女 原神 手 少女 姐妹 我们仨 姐妹 姐 旅行者 姐妹 旅行者 姐妹 游泳 散兵 辣 小心 散兵 旅行者 散兵 桃子 勇者 头衔 旅行者 原神 散兵 波 入场,原神_散兵_主角,[0.96660245 0.03339755]
多埋几个雷，热度就上来了，策划的目的就达到了。,雷 热度 策划 目的,原神_散兵_主角,[0.74964461 0.25035539]
问了一下自己身边的女性朋友，都感觉这次剧情不错，再问一下，现在都是玩小红书的。。。,女性朋友 感觉 剧情 红书,剧情_摄像头_角色,[0.16710702 0.83289298]
"md，一进来看到我们三就蚌埠住了

但是我们的双射手??

没问题啊双射手??

没人能碰到双射手??

我们的双射手还在推塔 ??

红米的第六手pick永远是这两个双炮车！??

第三个来了！第三个来了！??

三兄弟 我们仨 ！??????

保住三兄弟！??????

保住我们哥仨??????

oner你吃得住跑车的伤害吗？一下一百??

oner在撒石阵上游泳??

哎，TP辣！要小心推?? ruler被闪现推回来了??而且被吸到了ruler要被秒掉了??????而且剑魔的大灭已经续上了??????

而且这样奈特没有闪现也不好走，团战kanavi能换一个吗好像换不了????????????

哇~Faker的这波闪现推太要命了?? 

哇??

哇??",双 射手 问题 双 射手 人 双 射手 双 射手 推塔 红米 手 双 炮车 兄弟 我们仨 兄弟 哥 跑车 游泳 辣 小心 剑魔 团战 换 波,原神_散兵_主角,[0.89945501 0.10054499]
@东方寒兔 快来看，这里有原神4.8剧情赏析[脱单doge],原神 剧情 赏析 单,剧情_摄像头_角色,[0.499834 0.500166]
抛开事实不谈，这剧情难道不好嘛？自律人一天闹麻了，我双手双脚支持策划多来点[喜欢],事实 剧情 自律 人 双手 双脚 策划,剧情_摄像头_角色,[0.49873096 0.50126904]
现在玩原神，只是为了当初的情怀了，剧情跟以前的感觉根本比不了。,玩原 神 情怀 剧情 感觉,剧情_摄像头_角色,[0.16710702 0.83289298]
上 迪卢克? 哪怕上 戴因 都可以···但是我真的想不到··[笑哭],,未知,[0.5 0.5]
36:37[doge],,未知,[0.5 0.5]
"参考文献：

但是我们的双射手??

没问题啊双射手??

没人能碰到双射手??

我们的双射手还在推塔 ??

红米的第六手pick永远是这两个双炮车！??

第三个来了！第三个来了！??

三兄弟 我们仨 ！??????

保住三兄弟！??????

保住我们哥仨??????

oner你吃得住跑车的伤害吗？一下一百??

oner在撒石阵上游泳??

哎，TP辣！要小心推?? ruler被闪现推回来了??而且被吸到了ruler要被秒掉了??????而且剑魔的大灭已经续上了??????

而且这样奈特没有闪现也不好走，团战kanavi能换一个吗好像换不了????????????

哇~Faker的这波闪现推太要命了??

哇??

哇??",参考文献 双 射手 问题 双 射手 人 双 射手 双 射手 推塔 红米 手 双 炮车 兄弟 我们仨 兄弟 哥 跑车 游泳 辣 小心 剑魔 团战 换 波,原神_散兵_主角,[0.89945501 0.10054499]
4.8就开不了风之翼了，到了5.8还能不能走路都两说了,走路,未知,[0.5 0.5]
黄毛还不是阳光开朗大男孩，他应该是尸体,男孩 尸体,原神_散兵_主角,[0.74953646 0.25046354]
丫的，在其他片场主角只有四种元素就能代表世间的正义力量了，黄毛无元素只能当摆件，甚至不如一头猪[嗑瓜子],丫 片场 主角 元素 代表 世间 正义 力量 元素 摆件 猪,原神_散兵_主角,[0.87479746 0.12520254]
我不知道怎么有人还能说妮露那台词是害羞啊[辣眼睛],台词 辣 眼睛,原神_散兵_主角,[0.74938784 0.25061216]
如果是男主 最后那段演出也是灾难级的 两个人声音一模一样,男主 灾难 人 声音,未知,[0.5 0.5]
"这怎么了？

难道这次剧情不精彩？

一定是皱皮白蚁特效水军在带节奏。

我们米哈游就是伟大的作品！

这么好的剧情怎么体验第二遍呢？

唉！我这里有一个成品号????

4.7开始剧情一个没动，欢迎体验极品剧情账号??",剧情 精彩 皱皮 白蚁 水军 节奏 作品 剧情 体验 成品 剧情 体验 极品 剧情 账号,剧情_摄像头_角色,[0.05568668 0.94431332]
这剧情怎么跟日本右翼洗白战争那一套那么像呢？,剧情 右翼 战争,剧情_摄像头_角色,[0.25009805 0.74990195]
"“你觉得你是勇者吗”

“我觉得我是”",勇者,原神_散兵_主角,[0.7497693 0.2502307]
一定是白蚁混进原神文案组导致的，我们伟大的米哈游是不会写这种剧情的??????,白蚁 原神 文案 剧情,原神_散兵_主角,[0.62449488 0.37550512]
把散兵的名字改成主角，直接带入，旁边的黄毛摄像头真不熟。??????,散兵 名字 主角 摄像头,原神_散兵_主角,[0.62624969 0.37375031]
我勒个高强度巡逻,高强度,未知,[0.5 0.5]
前面忘了，后面忘了。总之就是散草营销了这么久，最后被散尼摘了桃子，意难平??,散草 营销 散尼 桃子 意难,原神_散兵_主角,[0.74941158 0.25058842]
我怀疑天理的戏份已经没了，从魔女这部分剧情的加入开始，策划组就换了一批人，并且在游戏内自诩为魔女会，各种的创世创物，修改原设定,天理 戏份 魔女 剧情 策划 人 游戏 内 魔女 创物 原,剧情_摄像头_角色,[0.37323156 0.62676844]
天才，米八倒下了，以后乐子就看你了,天才 乐子,剧情_摄像头_角色,[0.25125586 0.74874414]
对于这段剧情我只想说一句话，草神对阿帽朝思暮想都爱到骨子里了，到头来桃子却被妮露摘了。意难平啊！[委屈][大哭],剧情 话 草神 阿帽 骨子里 桃子,剧情_摄像头_角色,[0.3728629 0.6271371]
启动完美的诠释了什么叫NL（NTR LOVE）[doge],启动,未知,[0.5 0.5]
"（转载）第一位角色身份有些神秘，像是某国的仙子。

第二位角色是带刀勇者，他的职责是守护。

第三位角色扮演的国王，他和仙子友好相处。

最后所有人目光移向我，问我扮演的角色是什么？

我看看身份说我是：阳光开朗摄像头，阳光开朗摄像头。我特长只有摄像，看我拍照的技巧。

阳光开朗摄像头，应该开朗摄像头。我只是路过碰巧，被卷入这场纷扰。阳光开朗摄像头，阳光开朗摄像头。我没有任何身份，为啥我来到这里。阳光开朗摄像头，阳光开朗摄像头。这一次剧情到底，和我有鸡掰关系。

勇者原来是是散兵，他唤醒恶龙沉睡的记忆。剧情结束，大家击掌欢呼，庆祝这场冒险。所有人开心的和杜林玩耍着，除了那个黄毛。内，

阳光开朗摄像头，阳光开朗摄像头。这个角色的建立，到底有什么意义（我究竟 在做什么）阳光开朗摄像头，阳光开朗摄像头。剧情唯一的参与，是晕倒被人救起（有没有人能告诉我）

阳光开朗摄像头，阳光开朗摄像头。我还有什么作用，我甚至是个拖累（我究竟应该怎么做）

阳光开朗摄像头，阳光开朗摄像头。我离开游戏出去，却仍困在米站里（我离开游戏出去，却仍困在米站里）（转载）",角色 身份 仙子 角色 刀 勇者 职责 角色扮演 国王 仙子 友好相处 所有人 目光 角色 身份 摄像头 摄像头 特长 技巧 摄像头 摄像头 摄像头 摄像头 身份 摄像头 摄像头 剧情 鸡 关系 勇者 散兵 恶龙 记忆 剧情 大家 冒险 所有人 内 摄像头 摄像头 角色 意义 摄像头 摄像头 剧情 人 人能 摄像头 摄像头 摄像头 摄像头 游戏 游戏,剧情_摄像头_角色,[0.10066214 0.89933786]
感觉剧情不如猪猪侠的积木童话世界,感觉 剧情 猪猪 积木 童话世界,剧情_摄像头_角色,[0.16710702 0.83289298]
前面忘了，中间忘了，后面忘了，欸???，刚好我有个成品号,成品,剧情_摄像头_角色,[0.2507062 0.7492938]
主角路边了,主角,原神_散兵_主角,[0.74988137 0.25011863]
"《一首歌形容剧情》

dm:奇凉凉

公主:妮露

带刀侍卫:娜薇娅

王子:散兵

阳光开朗大男孩:空

好了带上这个再听一遍阳光开朗大男孩[doge]",形容 剧情 公主 刀 散兵 男孩 空 男孩,原神_散兵_主角,[0.72411509 0.27588491]
"对，没错，这次的剧情是在为mhy之后的版本要下的大棋做铺垫呢[星星眼]

希望ys以后的剧情继续保持这种品质，再接再厉呢[OK]",剧情 版本 大棋 铺垫 星星 眼 剧情 品质,剧情_摄像头_角色,[0.10021465 0.89978535]
"第一位玩家的身份有些神秘像是某国的公主，

第二位玩家是贩剑勇者他的职责是守护，

第三位玩家扮演的仙子黄毛让她很不舒服，

最后所有人目光移向我问我扮演的角色是什么？

我看看身份说我是

黄色飞舞摄像头，黄色飞舞摄像头

我特长只有睡觉，遇上事情就晕倒

黄色飞舞摄像头，黄色飞舞摄像头

原石到账就失忆，忘记咋开风之翼",玩家 身份 公主 玩家 剑 勇者 职责 玩家 仙子 所有人 目光 角色 身份 黄色 飞舞 摄像头 黄色 飞舞 摄像头 特长 事情 黄色 飞舞 摄像头 黄色 飞舞 摄像头 原石 账,剧情_摄像头_角色,[0.11908142 0.88091858]
"能再唱一遍吗[微笑]

第一位玩家的身份有些神秘像是某国的公主，

第二位玩家是贩剑勇者他的职责是守护，

第三位玩家扮演的仙子黄毛让她很不舒服，

最后所有人目光移向我问我扮演的角色是什么？

我看看身份说我是

黄色飞舞摄像头，黄色飞舞摄像头

我特长只有睡觉，遇上事情就晕倒

黄色飞舞摄像头，黄色飞舞摄像头

原石到账就失忆，忘记咋开风之翼",微笑 玩家 身份 公主 玩家 剑 勇者 职责 玩家 仙子 所有人 目光 角色 身份 黄色 飞舞 摄像头 黄色 飞舞 摄像头 特长 事情 黄色 飞舞 摄像头 黄色 飞舞 摄像头 原石 账,剧情_摄像头_角色,[0.11908142 0.88091858]
人家摄像头能拍出懂王挥拳世纪照片，让你来拍勇者救美结果宕机了[翻白眼],人家 摄像头 世纪 照片 勇者 结果,原神_散兵_主角,[0.52014823 0.47985177]
伞冰让妮露给你膝枕已经够哥们了，你们还想怎样[热],伞 冰 哥们 热,未知,[0.5 0.5]
世界级剧情！再度超神！！！！[崩坏3·终焉归始_燃起来了][大哭][大哭][大哭][doge],世界级 剧情 超神,剧情_摄像头_角色,[0.12535898 0.87464102]
感觉像看历史 从草莽中来 结局虽然富有拥有九州然满朝昏聩[呆],感觉 历史 草莽 结局,剧情_摄像头_角色,[0.25119519 0.74880481]
插不进去导致的，不让启动尘白就老实了[原神_哇]（,启动 尘白 老实 原神,原神_散兵_主角,[0.74986827 0.25013173]
我没玩过解神者，但这段剧情有ntrman那味，顺便你们谁要最新作我这刚好有,神者 剧情,剧情_摄像头_角色,[0.25009805 0.74990195]
福报福报，龟壳打爆~~,福报 福报 龟壳,未知,[0.5 0.5]
这剧情你怎么看的下去的，还要做个视频让我刷到??????,剧情 视频,剧情_摄像头_角色,[0.16683865 0.83316135]
说一句啊，我对手游要求是要不有一定游戏性，例如三消、塔防、解密或者是集换式卡牌这类的，要不参与感比较好，我就是就是主角；哪怕当摄像头的话，故事足够赞，也是可以接受的，但是都没有的情况下，我就肯定不买单了，这种情况下，我有这钱，还不如去看女主播跳舞呢。,游戏性 消 卡牌 参与感 主角 摄像头 故事 情况 买单 情况 钱 女主播,原神_散兵_主角,[0.50055546 0.49944454]
